id,date,agent,action_type,domain_files_changed,external_domain_used,tools_used,summary,risk_level,needs_review
42,2026-06-11,AI Manager,admin_table_grid_standard,"package.json;package-lock.json;scripts/copy-static.mjs;src/index.html;src/components/data-grid;src/app/styles.css;src/pages/admin-users;src/pages/admin-leads;agents/impact/domain/admin_table_grid_standard_impact_report.md;agents/impact/info/impact_reports.csv;agents/components/info/components_list.csv;shared-info/contracts.csv;shared-info/decisions.csv;agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;agents/qa/info/regression_tests.csv;shared-info/project_status.json","official ag-grid-community documentation","apply_patch;npm install;npm run build;npm test;context:build;context:check","Approved architecture change: admin data tables now use shared ag-grid-community data-grid component with sorting filtering movable columns 100 percent width centered cells and 20 visible rows before vertical scroll.",High,yes
41,2026-06-11,AI Manager,home_page_redesign,"design-system/project-profile.json;src/design/active-profile.css;src/pages/home/index.html;src/pages/home/style.css;src/pages/home/script.ts;tests/design-profile.test.ts;agents/impact/domain/home_redesign_impact_report.md;agents/impact/info/impact_reports.csv;agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;agents/qa/info/regression_tests.csv;shared-info/decisions.csv;shared-info/project_status.json","https://merkazdigitali.com/;Chrome headless","apply_patch;npm run design:check;npm run build;npm test;Chrome screenshots;CDP DOM overflow check","Full home page redesign approved by user: custom Merkaz Digitali design profile, public home hero/sections/contact/footer redesign, dynamic settings/media/activity data preserved, visual QA passed at 484 768 1440.",High,yes
40,2026-06-11,AI Manager,admin_password_policy_hotfix,".env;.env.example;agents/db/domain/start.ts;agents/db/domain/repo.ts;src/server/routes/admin-routes.ts;src/server/middlewares/auth.ts;src/app/router.ts;agents/db/info/users.csv;agents/api/info/api_list.csv;agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;agents/qa/info/regression_tests.csv;shared-info/contracts.csv;shared-info/decisions.csv;shared-info/environment_contract.csv;shared-info/project_status.json","MySQL;official security references","apply_patch;PowerShell;npm run build;npm run db:init;npm test;HTTP E2E","Critical auth change approved by user: admin bootstrap password set to 123123, first-login password change requirement disabled for admin and new/reset users, admin routes no longer require password-change middleware.",Critical,yes
39,2026-06-11,AI QA,activity_flow_visual_qa,"src/app/styles.css;src/components/navbar/style.css;src/pages/home/style.css;src/pages/activities/style.css;src/pages/admin-activities/style.css;src/pages/admin-leads/style.css;agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;qa/test_cases.csv;qa/test_results.csv;shared-info/project_status.json;qa/visual-screenshots/activity-flow-2026-06-11-final","dist/public;Chrome headless mock API","npm run build;Chrome headless screenshots;view_image;apply_patch","Visual QA for public and admin activity flows passed 12/12 screenshots. Added responsive CSS safeguards for RTL mobile wrapping and documented Chrome Windows headless 390px capture limitation.",Medium,no
38,2026-06-11,AI Manager,admin_activity_management,"agents/api/info/api_list.csv;agents/permissions/info/permissions.csv;agents/components/info/components_list.csv;agents/db/domain/repo.ts;src/server/controllers/admin-activities-controller.ts;src/server/services/admin-activities-service.ts;src/pages/admin-activities;src/app/router.ts;src/components/sidebar/script.ts","shared-info/system_context.json;MySQL","apply_patch;context:build;context:check;npm test;db:init","נוסף ממשק ניהול פעילויות וקבוצות באדמין כולל APIs ליצירה ועריכה, עמוד /admin/activities וניווט מתאים",High,yes
37,2026-06-10,AI Manager,public_leads_foundation,"agents/db/info/public_leads.csv;agents/api/info/api_list.csv;agents/permissions/info/permissions.csv;agents/components/info/components_list.csv;src/server/controllers/public-leads-controller.ts;src/server/services/public-leads-service.ts;src/pages/admin-leads;src/pages/home;src/pages/activities","MySQL;shared-info/system_context.json","apply_patch;context:build;context:check;npm test;db:init;INFORMATION_SCHEMA","נוסף בסיס פניות ציבוריות: טבלה public_leads, טופסי פנייה ציבוריים, API יצירה, API צפייה לאדמין ועמוד /admin/leads",High,yes
36,2026-06-10,AI Manager,public_site_activity_foundation,"agents/db/info/activities.csv;agents/db/info/groups.csv;agents/api/info/api_list.csv;agents/components/info/components_list.csv;agents/qa/info/test_cases.csv;agents/qa/info/test_results.csv;src/pages/home;src/pages/activities;src/server/services/public-content-service.ts","MySQL;shared-info/system_context.json","apply_patch;context:build;context:check;npm test;db:init;INFORMATION_SCHEMA","נוסף בסיס אתר ציבורי ופעילויות עם טבלאות activities/groups, API ציבורי read-only ועמודי /home /activities; עבר context, test ו-db:init",High,yes
1,2026-06-09,AI Manager,planning,"product/project_definition.md;product/features.csv;product/user_stories.csv;product/roadmap.md","shared-info/source_of_truth.md;shared-info/change_levels.csv;shared-info/task_checklist.md;shared-info/decisions.csv","rg;PowerShell;apply_patch","סיווג major_feature והכנת אפיון ראשוני לתשתית ניהול",High,yes
2,2026-06-09,AI Product Owner,feature_definition,"product/project_definition.md;product/features.csv;product/user_stories.csv;product/roadmap.md","AGENTS.md","apply_patch","הגדרת MVP סיפורי משתמשים קריטריוני קבלה ועדיפויות",High,yes
3,2026-06-09,AI Impact Analyzer,impact_analysis,"agents/impact/domain/impact_report.md;agents/impact/info/impact_reports.csv","product/project_definition.md;product/features.csv;product/user_stories.csv","apply_patch","ניתוח השפעות תלויות וסיכונים לפני מימוש",High,yes
